Year,G_Bin,Q_Bin,Count,Ret_Mean,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Status
2015,G3:中减(-2.5~-1.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),63.0,0.0406512833667583,1.0,9.9,0.029382957884426925,22.333333333333332,交易活跃
2015,G3:中减(-2.5~-1.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G4:微减(-1.5~0%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G4:微减(-1.5~0%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G4:微减(-1.5~0%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G4:微减(-1.5~0%),Q4:警戒(55-70),81.0,0.1292347523662636,1.0,9.9,0.044397463002114154,23.88888888888889,交易活跃
2015,G4:微减(-1.5~0%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G5:微增(0~1%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G5:微增(0~1%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G5:微增(0~1%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G5:微增(0~1%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G5:微增(0~1%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G6:中增(1~3%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G6:中增(1~3%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G6:中增(1~3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G6:中增(1~3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G6:中增(1~3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G7:暴增(>3%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G7:暴增(>3%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G7:暴增(>3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2015,G7:暴增(>3%),Q4:警戒(55-70),12.0,-0.1567567567567567,0.0,0.0,-0.1567567567567567,20.0,交易活跃
2015,G7:暴增(>3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G1:暴减(<-5%),Q1:低位(<20),439.0,-0.010062652169244981,0.724373576309795,0.46426783412771133,-0.06932409012131707,13.339407744874716,交易活跃
2016,G1:暴减(<-5%),Q2:中低(20-40),77.0,0.00775701616649569,0.935064935064935,18.14223002633881,-0.0069686411149825845,3.2987012987012987,交易活跃
2016,G1:暴减(<-5%),Q3:中位(40-55),165.0,-0.0648064806480647,0.0,0.0,-0.06480648064806471,14.0,交易活跃
2016,G1:暴减(<-5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G1:暴减(<-5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G2:大减(-5~-2.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G2:大减(-5~-2.5%),Q2:中低(20-40),174.0,0.06096604296939892,1.0,9.9,0.028182701652089498,14.919540229885058,交易活跃
2016,G2:大减(-5~-2.5%),Q3:中位(40-55),70.0,-0.05337361530714998,0.0,0.0,-0.053373615307149985,29.0,交易活跃
2016,G2:大减(-5~-2.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G2:大减(-5~-2.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G3:中减(-2.5~-1.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G3:中减(-2.5~-1.5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G3:中减(-2.5~-1.5%),Q3:中位(40-55),115.0,0.05037879505799188,1.0,9.9,0.04400749063670418,18.747826086956522,交易活跃
2016,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G3:中减(-2.5~-1.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G4:微减(-1.5~0%),Q1:低位(<20),166.0,0.005531224536490519,0.6204819277108434,3.613664555052331,-0.005576208178438708,12.909638554216867,交易活跃
2016,G4:微减(-1.5~0%),Q2:中低(20-40),265.0,-0.00990306199472244,0.35471698113207545,0.502784123984146,-0.04483074107959746,11.984905660377358,交易活跃
