G_Bin,Q_Bin,Count,Ret_Mean,Ret_Median,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Years_Covered,Active_Years_List,Yearly_Consistency
G1:暴减(<-5%),Q1:低位(<20),7203,0.01645106465604941,0.015503875968992262,0.5871164792447592,1.7505626002663615,-0.08531583264971282,18.79383590170762,6,2014|2015|2016|2017|2019|2022,0.6666666666666666
G1:暴减(<-5%),Q2:中低(20-40),640,0.028815003386037326,0.021611001964636604,0.7359375,4.026509089536064,-0.04878048780487809,16.83125,4,2016|2017|2018|2024,0.75
G1:暴减(<-5%),Q3:中位(40-55),209,-0.04877951628274073,-0.06480648064806471,0.21052631578947367,0.04658628776631896,-0.06480648064806471,15.205741626794259,2,2016|2018,0.5
G1:暴减(<-5%),Q4:警戒(55-70),1259,0.005886336332866549,0.00673400673400674,0.5329626687847498,1.4301665890688844,-0.08305647840531562,15.77760127084988,5,2015|2019|2020|2021|2025,0.8
G1:暴减(<-5%),Q5:高位(>70),68,-0.08259720136494894,-0.07825537294563847,0.0,0.0,-0.12846347607052902,16.970588235294116,2,2020|2021,0.0
G2:大减(-5~-2.5%),Q1:低位(<20),1300,-0.009096671565808092,0.0038167938931296893,0.5846153846153846,0.6721031829911424,-0.2739463601532567,20.247692307692308,5,2017|2018|2022|2023|2024,0.8
G2:大减(-5~-2.5%),Q2:中低(20-40),1315,0.010053066989256816,0.019011406844106567,0.6904942965779468,1.581333290843616,-0.1439645625692136,18.49277566539924,7,2016|2017|2018|2019|2021|2023|2025,0.42857142857142855
G2:大减(-5~-2.5%),Q3:中位(40-55),303,0.022993156761381032,0.04971590909090904,0.768976897689769,2.864732618115249,-0.053373615307149985,25.168316831683168,3,2016|2018|2025,0.6666666666666666
G2:大减(-5~-2.5%),Q4:警戒(55-70),372,-0.08403092933405516,-0.03345724907063192,0.40053763440860213,0.20115703642116106,-0.29239766081871343,16.39516129032258,4,2015|2020|2024|2025,0.25
G3:中减(-2.5~-1.5%),Q1:低位(<20),654,-0.002594361649691798,0.0037313432835820097,0.5290519877675841,0.7704791069750546,-0.05153374233128833,16.89296636085627,5,2017|2019|2023|2024|2025,0.2
G3:中减(-2.5~-1.5%),Q2:中低(20-40),807,0.002547399099292775,-0.009771986970683976,0.4225526641883519,1.1394523904310636,-0.06097560975609748,19.079306071871127,4,2017|2018|2021|2025,0.25
G3:中减(-2.5~-1.5%),Q3:中位(40-55),307,0.1087050893113667,0.07722007722007729,0.9739413680781759,2445.5328721616847,0.04400749063670418,16.446254071661237,3,2016|2021|2024,1.0
G3:中减(-2.5~-1.5%),Q4:警戒(55-70),333,0.011519176861981565,0.023648648648648594,0.7297297297297297,1.7482349325609756,-0.07380073800738014,17.963963963963963,5,2015|2017|2019|2020|2025,0.8
G4:微减(-1.5~0%),Q1:低位(<20),3747,-0.0002736270308495731,0.003717472118959194,0.5012009607686149,0.9851267986536792,-0.07981220657276993,19.316519882572724,7,2016|2017|2018|2022|2023|2024|2025,0.7142857142857143
G4:微减(-1.5~0%),Q2:中低(20-40),879,-0.018252702508409647,-0.019480519480519497,0.41865756541524457,0.5324954624693206,-0.1420612813370473,17.55631399317406,7,2016|2018|2019|2021|2022|2023|2025,0.42857142857142855
G4:微减(-1.5~0%),Q3:中位(40-55),364,0.0264714101827578,0.026671358198451726,0.6153846153846154,2.8655442281328867,-0.04889741131351868,18.032967032967033,4,2016|2017|2019|2021,0.5
G4:微减(-1.5~0%),Q4:警戒(55-70),557,0.011857338213894779,0.0,0.48114901256732495,1.4123563747438197,-0.11851851851851862,19.272890484739676,7,2015|2017|2018|2019|2020|2021|2025,0.5714285714285714
G5:微增(0~1%),Q1:低位(<20),864,-0.011948717293441406,-0.008547008547008555,0.33101851851851855,0.39897400216589124,-0.08938547486033527,20.033564814814813,3,2022|2023|2024,0.0
G5:微增(0~1%),Q2:中低(20-40),428,0.03588813586212279,0.017681728880157142,0.5817757009345794,3.5897638280167428,-0.04681647940074907,20.296728971962615,4,2018|2019|2023|2025,0.75
G5:微增(0~1%),Q3:中位(40-55),210,-0.004649975530857505,0.02192066805845502,0.5857142857142857,0.8282996535230867,-0.07582938388625589,22.185714285714287,3,2016|2017|2019,0.6666666666666666
G5:微增(0~1%),Q4:警戒(55-70),218,-0.06660558231017502,-0.06074766355140182,0.013761467889908258,0.0023966993478148264,-0.11538461538461542,23.80275229357798,2,2019|2020,0.0
G5:微增(0~1%),Q5:高位(>70),40,0.06121489982257964,0.03583061889250825,1.0,9.9,0.03583061889250825,17.85,1,2021,1.0
G6:中增(1~3%),Q1:低位(<20),962,0.0273683531743954,0.011456628477904974,0.5343035343035343,4.117474149848405,-0.02906520031421846,13.041580041580042,6,2014|2016|2017|2018|2023|2024,0.5
G6:中增(1~3%),Q2:中低(20-40),394,-0.04735040545620952,-0.04244482173174873,0.27411167512690354,0.13815461334230755,-0.13750000000000012,20.502538071065988,5,2016|2018|2023|2024|2025,0.4
G6:中增(1~3%),Q4:警戒(55-70),16,-0.06983981150808354,-0.08753315649867376,0.0,0.0,-0.08753315649867376,17.0,1,2019,0.0
G7:暴增(>3%),Q1:低位(<20),213,0.004614196090720063,0.011547344110854531,0.5258215962441315,1.2300789955212115,-0.10756501182033108,26.530516431924884,5,2016|2017|2018|2023|2024,0.6
G7:暴增(>3%),Q2:中低(20-40),140,0.036677492729243144,0.04832699248853768,0.8428571428571429,6.153521160210746,-0.045289855072463775,14.128571428571428,3,2016|2018|2019,0.6666666666666666
G7:暴增(>3%),Q3:中位(40-55),155,0.01323432891891425,0.0,0.47096774193548385,2.4121889801840255,-0.022222222222222286,10.193548387096774,3,2016|2017|2019,0.6666666666666666
G7:暴增(>3%),Q4:警戒(55-70),113,-0.07090831149889332,-0.06418219461697733,0.02654867256637168,0.010123109700865806,-0.1567567567567567,16.309734513274336,4,2015|2017|2019|2020,0.0
G7:暴增(>3%),Q5:高位(>70),116,-0.029647144851614717,-0.041284403669724905,0.3793103448275862,0.4055807918359562,-0.20588235294117643,17.913793103448278,2,2020|2021,0.0
